horizon,feature,raw_gain,normalized_gain,rank
1h,current_load,7142989.308817387,0.6763814105842917,1
1h,hour_cos,1103834.6001086235,0.10452391451175638,2
1h,hour_sin,464485.60838508606,0.04398290651335473,3
1h,load_lag_1,443007.5423681736,0.04194911310263114,4
1h,load_lag_96,341178.6164970398,0.03230676456460654,5
1h,load_rolling_mean_4,278428.58493995667,0.026364860828813924,6
1h,load_rolling_mean_96,212075.00278115273,0.020081730957333965,7
1h,load_lag_672,111699.72924804688,0.010577031151007834,8
1h,load_rolling_mean_672,86750.84061741829,0.008214579836169056,9
1h,month_cos,67311.516238451,0.006373838225647398,10
1h,load_rolling_std_672,65694.3514482975,0.006220706230817019,11
1h,load_rolling_std_96,62295.76721215248,0.00589888869753362,12
1h,load_lag_4,46771.77512764931,0.004428896344184561,13
1h,day_of_week_sin,35396.77852320671,0.003351779199516984,14
1h,load_lag_192,31964.338567972183,0.003026755812487473,15
1h,load_rolling_std_4,26053.85283255577,0.002467082193205357,16
1h,day_of_week_cos,19182.987371444702,0.001816468637507537,17
1h,month_sin,16782.778069019318,0.0015891888694042854,18
1h,is_weekend,2762.026587486267,0.0002615408421526226,19
1h,is_holiday,1927.7613863945007,0.00018254289757789374,20
24h,hour_cos,76393910.4330082,0.3442414714597571,1
24h,hour_sin,67537488.41111326,0.3043332152727769,2
24h,load_rolling_mean_96,15166662.377336502,0.06834306745543652,3
24h,current_load,12497562.687455654,0.056315737011040735,4
24h,load_lag_4,10577507.136687279,0.04766370251857166,5
24h,load_rolling_mean_4,9874256.521810055,0.044494758487586265,6
24h,load_rolling_mean_672,5605267.978007317,0.02525810873849143,7
24h,load_rolling_std_672,4769621.170715332,0.021492569248074835,8
24h,month_cos,3685180.3336262703,0.016605929627787896,9
24h,load_lag_96,3106146.414560318,0.013996723119120315,10
24h,load_lag_1,3064543.399134636,0.013809254207447589,11
24h,load_rolling_std_96,2947586.581351757,0.013282230694413324,12
24h,day_of_week_cos,1656685.1632585526,0.007465251289182044,13
24h,load_lag_192,1640484.178050518,0.0073922474207388615,14
24h,day_of_week_sin,1485718.044307232,0.0066948499277980295,15
24h,load_lag_672,962008.7328739166,0.004334943713243468,16
24h,month_sin,421803.6428184509,0.0019007052505610512,17
24h,load_rolling_std_4,221286.9255876541,0.0009971493335964345,18
24h,is_weekend,198319.23386716843,0.0008936537545760696,19
24h,is_holiday,107504.810962677,0.0004844314697995188,20
