horizon,model,forecast_step,lead_minutes,MAE,RMSE,MAPE
1h,Naive,1,15,11.87705051907353,17.952582318174837,7.533491354267201
1h,Naive,2,30,15.71812973119589,24.277881452108925,9.570577387338467
1h,Naive,3,45,18.727826540924344,29.472242636771618,11.325733874361335
1h,Naive,4,60,21.55712652444582,33.993566580317,13.07977553327829
1h,Seasonal Naive,1,15,15.395332931821203,24.912738578997224,9.443261258583176
1h,Seasonal Naive,2,30,15.395551673299401,24.912772245793526,9.443515124640768
1h,Seasonal Naive,3,45,15.39518637503081,24.912670705924224,9.443458636341427
1h,Seasonal Naive,4,60,15.394527963181439,24.912447154613666,9.443235458345308
1h,Ridge,1,15,11.547917464154052,16.64810611195021,7.521637397770648
1h,Ridge,2,30,15.222283642657796,21.39948981964328,9.480626637461201
1h,Ridge,3,45,18.014790448211194,24.70093209908031,10.974530250870524
1h,Ridge,4,60,20.18017653171064,26.95912114899194,12.15692981435235
1h,LightGBM,1,15,11.584377877921716,16.576277267102416,8.298678498955473
1h,LightGBM,2,30,12.616716367194273,18.121453274057007,8.803994937319516
1h,LightGBM,3,45,13.10334996947293,18.847469219228277,9.089204259084823
1h,LightGBM,4,60,13.460910818126367,19.196601441679803,9.278078492707456
24h,Naive,1,15,11.868934932649504,17.942535931645683,7.537645207527794
24h,Naive,2,30,15.701378617802513,24.2558728330871,9.571382965303483
24h,Naive,3,45,18.701508388676366,29.441298483010097,11.323073169240002
24h,Naive,4,60,21.52514903877278,33.95929709437379,13.073698454010193
24h,Naive,5,75,24.45907589076866,38.43341475591815,14.851485998296177
24h,Naive,6,90,27.28505417421344,42.33300189087485,15.902072340122
24h,Naive,7,105,30.177674781300922,46.21712886308253,18.292914595902342
24h,Naive,8,120,33.072530493958325,49.83807216344807,20.02550517173038
24h,Naive,9,135,36.12384725821679,53.47583589524409,21.258534112948585
24h,Naive,10,150,39.23326285280907,57.122529395781,23.62616848500945
24h,Naive,11,165,42.22682498713276,60.810505500429834,25.482043111087282
24h,Naive,12,180,45.15371477182149,64.32839551306724,27.312198090519907
24h,Naive,13,195,48.14573679244481,67.83165745303162,29.16876924257724
24h,Naive,14,210,51.12508271794694,71.21935811434247,30.989320778496353
24h,Naive,15,225,54.0169182551881,74.47412401255204,32.31135973302283
24h,Naive,16,240,56.861737482603225,77.61320075798949,34.603670513626525
24h,Naive,17,255,59.7589271669026,80.6393954185613,36.34269340127442
24h,Naive,18,270,62.684461387892156,83.6374915127095,38.254438157270705
24h,Naive,19,285,65.65222680081985,86.59256864579231,39.98059253555336
24h,Naive,20,300,68.49307454150308,89.3413710613238,41.621292024758546
24h,Naive,21,315,71.34513076539328,92.00717760568388,43.443578071924456
24h,Naive,22,330,74.14459023894537,94.54168811600084,45.16852936701366
24h,Naive,23,345,76.86753982252145,97.02876225654366,46.88074372460621
24h,Naive,24,360,79.59721742538684,99.4176384059496,48.69798958314941
24h,Naive,25,375,82.39928623090015,101.85386300081181,50.347615374894986
24h,Naive,26,390,85.12695282462562,104.17425223470158,52.14238239808522
24h,Naive,27,405,87.84619602901124,106.49832259732628,53.95624271851152
24h,Naive,28,420,90.49028490712004,108.66688154462487,55.699419464353596
24h,Naive,29,435,92.997718903398,110.73819814616232,57.154468541708304
24h,Naive,30,450,95.39204205748055,112.67766096394787,58.590317406201976
24h,Naive,31,465,97.6016482365661,114.4813417484576,59.8701511617853
24h,Naive,32,480,99.63654561651268,116.00875469563665,60.97790011562132
24h,Naive,33,495,101.31794698962328,117.33573813521203,61.79700797242942
24h,Naive,34,510,102.75372695798026,118.46253996650934,62.46742521859735
24h,Naive,35,525,104.24123804928888,119.50312061543497,63.153662349185524
24h,Naive,36,540,105.61570127975169,120.53570427556565,63.68364965313382
24h,Naive,37,555,107.20551092667824,121.6386260726226,64.3573669204039
24h,Naive,38,570,108.80014157621517,122.77711321433503,65.06207015038981
24h,Naive,39,585,110.46484996231368,123.85312968613185,65.78010969694189
24h,Naive,40,600,112.08547726241454,124.84249495289974,66.52192961616063
24h,Naive,41,615,113.47397361638028,125.67950644308452,67.16730624735453
24h,Naive,42,630,114.38113793530728,126.32441270462066,67.52521735736681
24h,Naive,43,645,115.13207994588873,126.82844945007015,67.83753285596646
24h,Naive,44,660,115.76515895174425,127.23141068544683,68.1189020039113
24h,Naive,45,675,116.2230531366323,127.56636187521151,68.31483818516027
24h,Naive,46,690,116.51261428551757,127.80637830851302,68.44991077758046
24h,Naive,47,705,116.66411592200737,127.95065475022513,68.53372542830424
24h,Naive,48,720,116.74964679180327,128.01111794849479,68.59532749346042
24h,Naive,49,735,116.70520612623979,128.00572987037003,68.62297543091383
24h,Naive,50,750,116.56079501797015,127.85578203161843,68.66486062514382
24h,Naive,51,765,116.29995189982505,127.66156857228256,68.68470863638404
24h,Naive,52,780,115.88062134177221,127.37341887042686,68.5733811603318
24h,Naive,53,795,115.2831795270188,126.98230382392445,68.2534318449351
24h,Naive,54,810,114.56050003090476,126.5152037588001,67.92876190320534
24h,Naive,55,825,113.69709017376697,125.92699062252187,67.41714369840236
24h,Naive,56,840,112.35938974294527,125.11409326365185,66.73634759725363
24h,Naive,57,855,110.79419115689117,124.14414777191652,65.87441161358588
